seed	source_lexicality	label	route	n_items	intercept	length_slope	model_status
19	real	Real words	full	671	0.0	0.0	OK
19	pseudo	Pseudowords	full	391	-0.06912695901122984	0.015119026845736832	OK
19	combined_clean	Clean set (combined)	full	1062	-0.029613403624115915	0.006400227001394161	OK
19	real	Real words	wm	671	0.0	0.0	OK
19	pseudo	Pseudowords	wm	391	-0.0460846393408199	0.010079351230491222	OK
19	combined_clean	Clean set (combined)	wm	1062	-0.019742269082743933	0.004266818000929439	OK
19	real	Real words	ltm	671	-0.08017385846099072	0.01772838684971419	OK
19	pseudo	Pseudowords	ltm	391	-0.9592389616612005	0.2560060570749179	OK
19	combined_clean	Clean set (combined)	ltm	1062	-0.4858220762369776	0.1213517476208339	OK
20	real	Real words	full	671	0.0	0.0	OK
20	pseudo	Pseudowords	full	391	-0.015361546446939964	0.0033597837434970737	OK
20	combined_clean	Clean set (combined)	full	1062	-0.006580756360914645	0.0014222726669764797	OK
20	real	Real words	wm	671	0.0	0.0	OK
20	pseudo	Pseudowords	wm	391	-0.06560303090350383	0.014540824625795215	OK
20	combined_clean	Clean set (combined)	wm	1062	-0.028225392003471787	0.006166988339823898	OK
20	real	Real words	ltm	671	-0.024045775155080207	0.005368228379237698	OK
20	pseudo	Pseudowords	ltm	391	-0.6679167270501043	0.1972956106909739	OK
20	combined_clean	Clean set (combined)	ltm	1062	-0.33215381628524154	0.08967521406565293	OK
21	real	Real words	full	671	0.0	0.0	OK
21	pseudo	Pseudowords	full	391	-0.0921692786816398	0.020158702460982444	OK
21	combined_clean	Clean set (combined)	full	1062	-0.03948453816548787	0.00853363600185888	OK
21	real	Real words	wm	671	0.0	0.0	OK
21	pseudo	Pseudowords	wm	391	-0.16960992792435764	0.03748110861033312	OK
21	combined_clean	Clean set (combined)	wm	1062	-0.07290267490923016	0.015889658347088994	OK
21	real	Real words	ltm	671	-0.029649390511679766	0.007593279409026446	OK
21	pseudo	Pseudowords	ltm	391	-0.7985756409763487	0.22125181520006393	OK
21	combined_clean	Clean set (combined)	ltm	1062	-0.38778013895928987	0.10076305499600725	OK
22	real	Real words	full	671	0.0	0.0	OK
22	pseudo	Pseudowords	full	391	-0.015361546446939964	0.0033597837434970737	OK
22	combined_clean	Clean set (combined)	full	1062	-0.006580756360914645	0.00142227266697648	OK
22	real	Real words	wm	671	0.0	0.0	OK
22	pseudo	Pseudowords	wm	391	-0.03072309289387993	0.006719567486994147	OK
22	combined_clean	Clean set (combined)	wm	1062	-0.01316151272182929	0.0028445453339529594	OK
22	real	Real words	ltm	671	0.00361746454264076	0.0006534623550642748	OK
22	pseudo	Pseudowords	ltm	391	-0.7386688631450062	0.21142237746105644	OK
22	combined_clean	Clean set (combined)	ltm	1062	-0.3449560272647649	0.09277583875873106	OK
